ring,sex,colony,pair_ID,cycle_pair,year_t,season_outcome,next_season,season_tru
6177210,M,grumant,6177210_6177212,2011_6177210_6177212,2011,0,1,0
6177210,M,grumant,6177210_6177212,2012_6177210_6177212,2012,0,NA,0
6177210,M,grumant,6177210_6177212,2014_6177210_6177212,2014,0,1,0
6177210,M,grumant,6177210_6177212,2015_6177210_6177212,2015,0,1,0
6177210,M,grumant,6177210_6177212,2016_6177210_6177212,2016,0,0,0
6177210,M,grumant,6177210_6177212,2017_6177210_6177212,2017,0,0,0
6177210,M,grumant,6177210_6177212,2018_g_6177210_6177212,2018_g,NA,NA,NA
6177219,M,grumant,6177219_680932,2010_6177219_680932,2010,0,1,0
6177219,M,grumant,6177219_680932,2011_6177219_680932,2011,1,NA,NA
6177222,M,grumant,6177222_680907,2009_6177222_680907,2009,1,NA,1
6177222,M,grumant,6177222_6177307,2011_6177222_6177307,2011,0,0,0
6177222,M,grumant,6177222_6177307,2012_6177222_6177307,2012,1,0,NA
6177222,M,grumant,6177222_6126233,2013_6177222_6126233,2013,1,NA,1
6177223,M,grumant,6177223_6177214,2010_6177223_6177214,2010,1,1,NA
6177223,M,grumant,6177223_6126208,2011_6177223_6126208,2011,1,0,NA
6177223,M,grumant,6177223_6126231,2012_6177223_6126231,2012,NA,NA,NA
6177223,M,grumant,6177223_680908,2014_6177223_680908,2014,0,1,0
6177223,M,grumant,6177223_680908,2015_6177223_680908,2015,1,0,NA
6177223,M,grumant,6177223_6141779,2016_6177223_6141779,2016,NA,NA,NA
6177223,M,grumant,6177223_6161680,2018_g_6177223_6161680,2018_g,NA,NA,NA
6177224,M,grumant,6177224_680911,2010_6177224_680911,2010,0,0,0
6177224,M,grumant,6177224_680911,2011_6177224_680911,2011,1,0,NA
6177224,M,grumant,6177224_6126233,2012_6177224_6126233,2012,1,NA,1
6177224,M,grumant,6177224_680937,2014_6177224_680937,2014,0,0,0
6177224,M,grumant,6177224_680937,2015_6177224_680937,2015,1,1,1
6177224,M,grumant,6177224_6126006,2016_6177224_6126006,2016,0,0,0
6177224,M,grumant,6177224_6126006,2017_6177224_6126006,2017,NA,NA,NA
6177243,M,grumant,6177243_6126234,2012_6177243_6126234,2012,NA,NA,NA
6177248,M,grumant,6177248_6177205,2010_6177248_6177205,2010,0,1,0
6177248,M,grumant,6177248_6177205,2011_6177248_6177205,2011,0,1,0
6177248,M,grumant,6177248_6177205,2012_6177248_6177205,2012,0,0,0
6177248,M,grumant,6177248_6177205,2013_6177248_6177205,2013,0,0,0
6177248,M,grumant,6177248_6177205,2014_6177248_6177205,2014,0,1,0
6177248,M,grumant,6177248_6177205,2015_6177248_6177205,2015,0,1,0
6177248,M,grumant,6177248_6177205,2016_6177248_6177205,2016,1,0,NA
6177248,M,grumant,6177248_6177208,2017_6177248_6177208,2017,1,NA,NA
6177250,M,grumant,6177250_6177211,2010_6177250_6177211,2010,1,NA,1
6177250,M,grumant,6177250_680945,2012_6177250_680945,2012,0,0,0
6177250,M,grumant,6177250_680945,2013_6177250_680945,2013,1,0,NA
6177250,M,grumant,6177250_6126240,2014_6177250_6126240,2014,0,1,0
6177250,M,grumant,6177250_6126240,2015_6177250_6126240,2015,0,1,0
6177250,M,grumant,6177250_6126240,2016_6177250_6126240,2016,0,0,0
6177250,M,grumant,6177250_6126240,2017_6177250_6126240,2017,NA,NA,NA
6177308,M,grumant,6177308_6177221,2010_6177308_6177221,2010,0,0,0
6177308,M,grumant,6177308_6177221,2011_6177308_6177221,2011,0,1,0
6177308,M,grumant,6177308_6177221,2012_6177308_6177221,2012,0,0,0
6177308,M,grumant,6177308_6177221,2013_6177308_6177221,2013,0,0,0
6177308,M,grumant,6177308_6177221,2014_6177308_6177221,2014,0,1,0
6177308,M,grumant,6177308_6177221,2015_6177308_6177221,2015,1,1,NA
6177308,M,grumant,6177308_6126012,2016_6177308_6126012,2016,NA,NA,NA
6177308,M,grumant,6177308_6161679,2018_g_6177308_6161679,2018_g,NA,NA,NA
6191650,M,grumant,6191650_6141767,2015_6191650_6141767,2015,NA,NA,NA
6228269,M,grumant,6228269_6141784,2016_6228269_6141784,2016,0,0,0
6228269,M,grumant,6228269_6141784,2017_6228269_6141784,2017,NA,NA,NA
6228271,M,grumant,6228271_6141764,2016_6228271_6141764,2016,1,0,NA
6228271,M,grumant,6228271_680932,2017_6228271_680932,2017,NA,NA,NA
6228274,M,grumant,6228274_6228275,2016_6228274_6228275,2016,NA,NA,NA
6228293,M,grumant,6228293_6228300,2016_6228293_6228300,2016,1,NA,NA
6191642,M,pyramiden,6191642_6234547,2021_6191642_6234547,2021,0,1,0
6191642,M,pyramiden,6191642_6234547,2022_6191642_6234547,2022,NA,NA,NA
6191643,M,pyramiden,6191643_6207522,2021_6191643_6207522,2021,NA,NA,NA
6207506,M,pyramiden,6207506_6207514,2021_6207506_6207514,2021,NA,NA,NA
6207512,M,pyramiden,6207512_6207507,2021_6207512_6207507,2021,0,1,0
6207512,M,pyramiden,6207512_6207507,2022_6207512_6207507,2022,NA,NA,NA
6207517,M,pyramiden,6207517_6234772,2021_6207517_6234772,2021,NA,NA,NA
6207521,M,pyramiden,6207521_6207508,2021_6207521_6207508,2021,NA,NA,NA
6207524,M,pyramiden,6207524_6234569,2021_6207524_6234569,2021,NA,NA,NA
6207525,M,pyramiden,6207525_6207541,2021_6207525_6207541,2021,0,0,0
6207525,M,pyramiden,6207525_6207541,2022_6207525_6207541,2022,NA,NA,NA
6207526,M,pyramiden,6207526_6207515,2021_6207526_6207515,2021,0,0,0
6207526,M,pyramiden,6207526_6207515,2022_6207526_6207515,2022,NA,NA,NA
6207532,M,pyramiden,6207532_6234588,2021_6207532_6234588,2021,NA,NA,NA
6207534,M,pyramiden,6207534_6234589,2021_6207534_6234589,2021,NA,NA,NA
6207535,M,pyramiden,6207535_6234176,2021_6207535_6234176,2021,NA,NA,NA
6207538,M,pyramiden,6207538_6234548,2021_6207538_6234548,2021,0,0,0
6207538,M,pyramiden,6207538_6234548,2022_6207538_6234548,2022,NA,NA,NA
6207540,M,pyramiden,6207540_6207518,2021_6207540_6207518,2021,NA,NA,NA
6234173,M,pyramiden,6234173_6207537,2021_6234173_6207537,2021,0,0,0
6234173,M,pyramiden,6234173_6207537,2022_6234173_6207537,2022,NA,NA,NA
6234174,M,pyramiden,6234174_6207520,2021_6234174_6207520,2021,0,0,0
6234174,M,pyramiden,6234174_6207520,2022_6234174_6207520,2022,NA,NA,NA
6234451,M,pyramiden,6234451_6234765,2019_6234451_6234765,2019,0,NA,0
6234451,M,pyramiden,6234451_6234765,2021_6234451_6234765,2021,NA,NA,NA
6234451,M,pyramiden,6234451_6234765,2018_p_6234451_6234765,2018_p,0,NA,0
6234454,M,pyramiden,6234454_6234757,2018_p_6234454_6234757,2018_p,NA,NA,NA
6234455,M,pyramiden,6234455_6234759,2019_6234455_6234759,2019,0,NA,0
6234455,M,pyramiden,6234455_6234759,2021_6234455_6234759,2021,NA,NA,NA
6234455,M,pyramiden,6234455_6234759,2018_p_6234455_6234759,2018_p,0,NA,0
6234458,M,pyramiden,6234458_6234770,2019_6234458_6234770,2019,0,NA,0
6234458,M,pyramiden,6234458_6234770,2021_6234458_6234770,2021,NA,NA,NA
6234458,M,pyramiden,6234458_6234770,2018_p_6234458_6234770,2018_p,0,NA,0
6234459,M,pyramiden,6234459_6234772,2018_p_6234459_6234772,2018_p,1,NA,1
6234460,M,pyramiden,6234460_6234773,2019_6234460_6234773,2019,0,NA,0
6234460,M,pyramiden,6234460_6234773,2021_6234460_6234773,2021,NA,NA,NA
6234460,M,pyramiden,6234460_6234773,2018_p_6234460_6234773,2018_p,0,NA,0
6234461,M,pyramiden,6234461_6234738,2019_6234461_6234738,2019,0,NA,0
6234461,M,pyramiden,6234461_6234738,2021_6234461_6234738,2021,NA,NA,NA
6234461,M,pyramiden,6234461_6234774,2018_p_6234461_6234774,2018_p,1,NA,NA
6234466,M,pyramiden,6234466_6234785,2019_6234466_6234785,2019,0,NA,0
6234466,M,pyramiden,6234466_6234785,2021_6234466_6234785,2021,NA,NA,NA
6234466,M,pyramiden,6234466_6234785,2018_p_6234466_6234785,2018_p,0,NA,0
6234467,M,pyramiden,6234467_6234787,2019_6234467_6234787,2019,0,NA,0
6234467,M,pyramiden,6234467_6234787,2021_6234467_6234787,2021,NA,NA,NA
6234468,M,pyramiden,6234468_6234788,2018_p_6234468_6234788,2018_p,NA,NA,NA
6234470,M,pyramiden,6234470_6234790,2018_p_6234470_6234790,2018_p,1,NA,NA
6234471,M,pyramiden,6234471_6234791,2019_6234471_6234791,2019,0,NA,0
6234471,M,pyramiden,6234471_6234791,2021_6234471_6234791,2021,NA,NA,NA
6234474,M,pyramiden,6234474_6234796,2019_6234474_6234796,2019,0,NA,0
6234474,M,pyramiden,6234474_6234796,2021_6234474_6234796,2021,0,1,0
6234474,M,pyramiden,6234474_6234796,2022_6234474_6234796,2022,NA,NA,NA
6234474,M,pyramiden,6234474_6234796,2018_p_6234474_6234796,2018_p,0,NA,0
6234476,M,pyramiden,6234476_6234731,2021_6234476_6234731,2021,NA,NA,NA
6234476,M,pyramiden,6234476_6234800,2018_p_6234476_6234800,2018_p,NA,NA,NA
6234477,M,pyramiden,6234477_6234601,2019_6234477_6234601,2019,0,NA,0
6234477,M,pyramiden,6234477_6234601,2021_6234477_6234601,2021,NA,NA,NA
6234507,M,pyramiden,6234507_6234465,2019_6234507_6234465,2019,0,NA,0
6234507,M,pyramiden,6234507_6234465,2021_6234507_6234465,2021,NA,NA,NA
6234507,M,pyramiden,6234507_6234465,2018_p_6234507_6234465,2018_p,0,NA,0
6234508,M,pyramiden,6234508_6207539,2021_6234508_6207539,2021,NA,NA,NA
6234508,M,pyramiden,6234508_6234781,2018_p_6234508_6234781,2018_p,NA,NA,NA
6234509,M,pyramiden,6234509_6234777,2021_6234509_6234777,2021,0,0,0
6234509,M,pyramiden,6234509_6234777,2022_6234509_6234777,2022,NA,NA,NA
6234509,M,pyramiden,6234509_6234777,2018_p_6234509_6234777,2018_p,0,NA,0
6234510,M,pyramiden,6234510_6234766,2019_6234510_6234766,2019,0,NA,0
6234510,M,pyramiden,6234510_6234766,2021_6234510_6234766,2021,0,1,0
6234510,M,pyramiden,6234510_6234766,2022_6234510_6234766,2022,NA,NA,NA
6234510,M,pyramiden,6234510_6234766,2018_p_6234510_6234766,2018_p,0,NA,0
6234513,M,pyramiden,6234513_6234582,2021_6234513_6234582,2021,0,0,0
6234513,M,pyramiden,6234513_6234582,2022_6234513_6234582,2022,NA,NA,NA
6234513,M,pyramiden,6234513_6234795,2018_p_6234513_6234795,2018_p,1,NA,NA
6234516,M,pyramiden,6234516_6234720,2019_6234516_6234720,2019,0,NA,0
6234516,M,pyramiden,6234516_6234720,2021_6234516_6234720,2021,NA,NA,NA
6234516,M,pyramiden,6234516_6234760,2018_p_6234516_6234760,2018_p,1,NA,NA
6234524,M,pyramiden,6234524_6234525,2019_6234524_6234525,2019,NA,NA,NA
6234524,M,pyramiden,6234524_6234603,2018_p_6234524_6234603,2018_p,1,NA,NA
6234526,M,pyramiden,6234526_6234486,2018_p_6234526_6234486,2018_p,NA,NA,NA
6234527,M,pyramiden,6234527_6234481,2018_p_6234527_6234481,2018_p,NA,NA,NA
6234528,M,pyramiden,6234528_6234609,2019_6234528_6234609,2019,NA,NA,NA
6234549,M,pyramiden,6234549_6234783,2018_p_6234549_6234783,2018_p,NA,NA,NA
6234565,M,pyramiden,6234565_6207513,2021_6234565_6207513,2021,NA,NA,NA
6234567,M,pyramiden,6234567_6234511,2021_6234567_6234511,2021,0,0,0
6234567,M,pyramiden,6234567_6234511,2022_6234567_6234511,2022,NA,NA,NA
6234571,M,pyramiden,6234571_6234583,2021_6234571_6234583,2021,0,NA,0
6234571,M,pyramiden,6234571_6234583,2022_6234571_6234583,2022,NA,NA,NA
6234572,M,pyramiden,6234572_6234193,2021_6234572_6234193,2021,1,1,NA
6234572,M,pyramiden,6234572_Unringed,2022_6234572_Unringed,2022,NA,NA,NA
6234573,M,pyramiden,6234573_6234590,2021_6234573_6234590,2021,0,0,0
6234573,M,pyramiden,6234573_6234590,2022_6234573_6234590,2022,NA,NA,NA
6234575,M,pyramiden,6234575_6207533,2021_6234575_6207533,2021,NA,NA,NA
6234576,M,pyramiden,6234576_6207510,2021_6234576_6207510,2021,0,0,0
6234576,M,pyramiden,6234576_6207510,2022_6234576_6207510,2022,NA,NA,NA
6234578,M,pyramiden,6234578_6207509,2021_6234578_6207509,2021,1,NA,NA
6234579,M,pyramiden,6234579_6234515,2021_6234579_6234515,2021,NA,NA,NA
6234580,M,pyramiden,6234580_6234739,2021_6234580_6234739,2021,NA,NA,NA
6234581,M,pyramiden,6234581_6234721,2021_6234581_6234721,2021,NA,NA,NA
6234584,M,pyramiden,6234584_6234570,2021_6234584_6234570,2021,NA,NA,NA
6234585,M,pyramiden,6234585_6234568,2021_6234585_6234568,2021,NA,NA,NA
6234587,M,pyramiden,6234587_6234577,2021_6234587_6234577,2021,1,0,1
6234587,M,pyramiden,6234587_6234528,2022_6234587_6234528,2022,NA,NA,NA
6234591,M,pyramiden,6234591_6207519,2021_6234591_6207519,2021,0,0,0
6234591,M,pyramiden,6234591_6207519,2022_6234591_6207519,2022,NA,NA,NA
6234602,M,pyramiden,6234602_6234525,2018_p_6234602_6234525,2018_p,1,NA,NA
6234606,M,pyramiden,6234606_6234724,2021_6234606_6234724,2021,1,0,NA
6234606,M,pyramiden,6234606_6234481,2022_6234606_6234481,2022,NA,NA,NA
6234606,M,pyramiden,6234606_6234643,2018_p_6234606_6234643,2018_p,NA,NA,NA
